49624	175836	#SUP:	13
4767	175836	#SUP:	13
18513	106891	#SUP:	13
104761	104762	#SUP:	13
152720	177439	#SUP:	13
43972	137609	#SUP:	14
84208	122736	#SUP:	14
2746	65461	#SUP:	13
57338	58088	#SUP:	13
56856	56868	#SUP:	13
44300	48587	#SUP:	13
6235	13401	#SUP:	13
108777	175844	#SUP:	13
111638	133273	#SUP:	13
122326	122330	#SUP:	15
20473	110823	#SUP:	13
63071	106472	#SUP:	13
48860	106472	#SUP:	13
11227	106472	#SUP:	13
6046	106472	#SUP:	13
4888	106472	#SUP:	13
4806	106472	#SUP:	13
4632	106472	#SUP:	13
4084	106472	#SUP:	13
3760	106472	#SUP:	13
576	106472	#SUP:	13
106472	158851	#SUP:	14
106472	137961	#SUP:	14
106472	125027	#SUP:	14
106472	124808	#SUP:	14
106472	121461	#SUP:	14
106472	108974	#SUP:	14
97915	106472	#SUP:	14
86007	106472	#SUP:	14
52552	106472	#SUP:	14
19661	106472	#SUP:	14
18898	106472	#SUP:	14
18263	106472	#SUP:	14
16691	106472	#SUP:	14
10735	106472	#SUP:	14
9562	106472	#SUP:	14
8743	106472	#SUP:	14
6427	106472	#SUP:	14
5365	106472	#SUP:	14
4705	106472	#SUP:	14
4634	106472	#SUP:	14
3476	106472	#SUP:	14
3273	106472	#SUP:	14
2729	106472	#SUP:	14
2486	106472	#SUP:	14
2101	106472	#SUP:	14
1488	106472	#SUP:	14
635	106472	#SUP:	14
446	106472	#SUP:	14
267	106472	#SUP:	14
34026	106472	#SUP:	15
18190	106472	#SUP:	15
4676	106472	#SUP:	15
3340	106472	#SUP:	15
491	106472	#SUP:	15
401	106472	#SUP:	15
104901	104903	#SUP:	14
104898	104901	#SUP:	14
726	78727	#SUP:	14
5842	76760	#SUP:	13
2992	66201	#SUP:	13
540	45077	#SUP:	13
41215	66038	#SUP:	13
35669	41215	#SUP:	13
33072	41215	#SUP:	13
8075	41215	#SUP:	13
3499	41215	#SUP:	13
3260	41215	#SUP:	13
2858	41215	#SUP:	13
4494	41215	#SUP:	14
2784	41215	#SUP:	14
24266	41215	#SUP:	15
18898	41215	#SUP:	15
2882	41215	#SUP:	15
1948	41215	#SUP:	15
